batsman,actual_runs,expected_runs,balls,replacement_exp,batting_war
Akhil Kumar,2,10.879240745841477,11,9.247354633965255,-0.7247354633965255
Nazmul Hossain,15,26.222596208879757,77,22.289206777547793,-0.7289206777547793
RW Sims,24,36.828136028842295,64,31.30391562451595,-0.7303915624515949
PY Lavine,8,18.090530717634103,26,15.376951109988987,-0.7376951109988987
Gull Feroza,8,18.09207457293445,28,15.378263386994282,-0.7378263386994283
Amjad Ali,249,301.68483665393217,387,256.43211115584234,-0.7432111155842336
KE Ebrahim,52,69.9546136571887,95,59.461421608610394,-0.7461421608610393
N Ifill,16,27.687161826444353,44,23.5340875524777,-0.7534087552477701
TD Smartt,40,55.92883420749979,65,47.53950907637482,-0.753950907637482
SI Kamea,18,30.066254319679896,55,25.55631617172791,-0.755631617172791
Moniruzzaman,1,10.068458892251591,20,8.558190058413853,-0.7558190058413853
J Campbell,8,18.369761944317673,15,15.614297652670022,-0.7614297652670021
PLS Gamage,4,13.67134026601864,27,11.620639226115845,-0.7620639226115845
MT Herbert,1,10.179492602686338,22,8.652568712283387,-0.7652568712283386
Pooja Ganesh,49,66.67383947030345,93,56.67276354975793,-0.7672763549757932
LN McCarthy,12,23.209055223093745,46,19.727696939629684,-0.7727696939629685
KH Butt,8,18.511142665939403,29,15.734471266048493,-0.7734471266048493
RD McCann,23,36.165272932031904,57,30.740481992227117,-0.7740481992227117
Abdul Shakoor,34,49.132322457401905,66,41.76247408879162,-0.776247408879162
GM Harris,13,24.46430544869362,22,20.794659631389575,-0.7794659631389574
N Niranjana,24,37.408605515463606,60,31.797314688144063,-0.7797314688144062
Taijul Islam,89,113.91315682609522,137,96.82618330218094,-0.7826183302180937
AA Shafique,13,24.52565359401745,33,20.84680555491483,-0.7846805554914831
A Hartley,4,13.9455715352286,28,11.85373580494431,-0.7853735804944311
O Chare,3,12.770676709593523,18,10.855075203154495,-0.7855075203154496
Al-Amin Hossain,4,13.976993789607683,20,11.88044472116653,-0.788044472116653
J Maguire,74,96.3503001905501,120,81.89775516196758,-0.7897755161967581
S Naik,25,38.70576657062674,39,32.89990158503273,-0.7899901585032729
RAP Nissanka,31,45.774071577888876,86,38.90796084120554,-0.7907960841205544
Sagar Pun,3,12.864060472530781,20,10.934451401651163,-0.7934451401651164
RH Scholte,8,18.753873791539107,31,15.94079272280824,-0.794079272280824
AK Peters,6,16.413656029544548,29,13.951607625112866,-0.7951607625112865
MA Aponso,10,21.151312161787057,45,17.978615337519,-0.7978615337518999
G Kodali,66,87.05429073247876,118,73.99614712260694,-0.7996147122606942
CM Beggs,1,10.613152611492279,16,9.021179719768437,-0.8021179719768436
CK Kruger,3,13.019378865839583,21,11.066472035963645,-0.8066472035963645
OO Bascome,17,29.50812216314771,47,25.081903838675554,-0.8081903838675555
TM Dowlin,228,277.7988923713206,362,236.12905851562252,-0.8129058515622518
Shaila Sharmin,59,79.02069507886614,98,67.16759081703621,-0.8167590817036213
Imran Haider,54,73.16851115102436,127,62.193234478370705,-0.8193234478370706
SG Whittingham,5,15.526710071452337,15,13.197703560734485,-0.8197703560734485
M Nanayakkara,14,26.143097241505128,34,22.221632655279357,-0.8221632655279357
Faisal Iqbal,134,167.38756672815794,260,142.27943171893423,-0.8279431718934234
BW Hilfenhaus,29,43.86590097458239,71,37.28601582839503,-0.828601582839503
Ehsan Adil,27,41.52182854079583,43,35.293554259676455,-0.8293554259676454
Aaditya Varadarajan,36,52.12596266781075,66,44.30706826763913,-0.8307068267639132
MA Jones,385,462.7324288592271,582,393.3225645303431,-0.8322564530343073
AG Cremer,507,606.294365432398,897,515.3502106175382,-0.835021061753821
PD Macchi,12,23.947010131917974,31,20.35495861213028,-0.8354958612130279
K Whatham,18,31.00588690923864,43,26.355003872852844,-0.8355003872852844
VAB Tewarie,4,14.550712081549063,22,12.368105269316704,-0.8368105269316704
Ghulam Fatima,11,22.906945944224255,26,19.470904052590615,-0.8470904052590615
CM Wright,81,105.27085303490641,145,89.48022507967045,-0.8480225079670447
K Schultz,0,9.999174781937462,19,8.499298564646843,-0.8499298564646842
PC Connell,6,17.081691150693636,24,14.519437478089591,-0.8519437478089591
B Leephatthana,30,45.34742238149897,66,38.545309024274125,-0.8545309024274126
SM Warnapura,30,45.45546123387358,64,38.63714204879254,-0.8637142048792541
YS Samra,142,177.2813898581292,223,150.6891813794098,-0.8689181379409803
LM Hoitink,0,10.22314247832148,17,8.689671106573257,-0.8689671106573258
LC Boylan,31,46.708787677151534,47,39.702469525578806,-0.8702469525578806
Ebadat Hossain,3,13.777199709789278,18,11.710619753320886,-0.8710619753320886
SF Daley,141,176.23333315147218,240,149.79833317875136,-0.8798333178751363
Zulqarnain Haider,48,66.83521319943775,70,56.809931219522085,-0.8809931219522085
AL Kandappah,97,124.544806352859,159,105.86308539993014,-0.8863085399930142
U Raymond-Hoey,74,97.56049735562048,124,82.9264227522774,-0.8926422752277403
N Deonarine,546,652.8828043197981,873,554.9503836718284,-0.8950383671828377
Fariha Trisna,0,10.55859923755237,14,8.974809351919514,-0.8974809351919515
Junaid Siddiqui,59,79.99001142696656,147,67.99150971292157,-0.8991509712921569
Sohail Khan,25,40.03754231216513,52,34.03191096534036,-0.9031910965340358
CH van Koolwijk,25,40.05079571188057,66,34.04317635509848,-0.9043176355098481
PM Liyanagamage,28,43.59172789718034,84,37.05296871260329,-0.9052968712603289
KE Broadmore,9,21.2882408691522,34,18.09500473877937,-0.909500473877937
D Parashar,169,209.53105308589028,263,178.10139512300674,-0.9101395123006739
J Anderson,118,149.57406833615795,205,127.13795808573425,-0.9137958085734255
JT Brassell,2,13.123909399486568,18,11.155322989563583,-0.9155322989563583
RMS Eranga,34,50.898317832705544,68,43.26357015779971,-0.9263570157799712
E Bisht,73,96.85966939986615,125,82.33071898988622,-0.9330718989886222
NA Greenwood,35,52.158711734630465,69,44.334904974435894,-0.9334904974435894
T Ruma,232,283.95896068509825,368,241.3651165823335,-0.9365116582333514
N Chantam,630,752.20621083774,918,639.3752792120789,-0.9375279212078909
EMA McLeod,10,22.955343887599035,29,19.51204230445918,-0.9512042304459178
Mushfiqur Rahman,208,255.89823662838313,416,217.51350113412565,-0.9513501134125647
BA Parchment,107,137.0986514477189,198,116.53385373056106,-0.9533853730561063
L Tshuma,200,246.51708810678417,322,209.53952489076653,-0.9539524890766529
AGC Vimukthi,7,19.485390506974174,28,16.562581930928047,-0.9562581930928047
PJ Moor,520,623.0608052811589,781,529.601684488985,-0.960168448898503
PN Sproul,28,44.26081894452278,66,37.62169610284436,-0.962169610284436
Panna Ghosh,85,111.35444584736665,207,94.65127897026164,-0.9651278970261643
S Jyoti,19,33.798478567936215,43,28.728706782745782,-0.9728706782745782
AH Maqsood,20,34.99093132533425,50,29.74229162653411,-0.9742291626534112
S Dhakal,7,19.80065592821182,44,16.83055753898005,-0.9830557538980049
Nadeem Ahmed,55,76.28588001965795,132,64.84299801670926,-0.9842998016709259
Faisal Athar,9,22.27314638274193,39,18.93217442533064,-0.993217442533064
AJ McKay,12,25.811859049941166,47,21.94008019244999,-0.994008019244999
