bowler,balls,runs_conceded,wickets,runs_per_ball,replacement_runs,bowling_war
M Theekshana,2126,1570,75,0.7384760112888052,2168.4608857994044,59.84608857994044
MJ Henry,3061,2524,110,0.8245671349232278,3122.1348877855016,59.813488778550166
K Rabada,3400,2871,107,0.8444117647058823,3467.905461767627,59.6905461767627
LN Rajbanshi,1550,995,47,0.6419354838709678,1580.9569016881828,58.59569016881828
KA Maharaj,2260,1731,51,0.765929203539823,2305.137159880834,57.41371598808341
PJ Cummins,3119,2617,90,0.8390509778775248,3181.293275074479,56.429327507447894
Mustafizur Rahman,3804,3316,116,0.8717139852786541,3879.974228401192,56.39742284011918
D Gough,1930,1426,58,0.738860103626943,1968.546335650447,54.2546335650447
Abdul Razzaq,2317,1825,54,0.7876564523090203,2363.275574975174,53.82755749751741
A Dutt,2465,1985,64,0.8052738336713996,2514.2314597815293,52.92314597815293
R Trumpelmann,2081,1594,62,0.7659778952426718,2122.5621370407152,52.85621370407152
Zahoor Khan,2719,2253,80,0.8286134608311879,2773.304397219464,52.030439721946415
AF Giles,1628,1144,38,0.7027027027027027,1660.5147328699106,51.65147328699106
HH Streak,1550,1068,42,0.6890322580645162,1580.9569016881828,51.29569016881828
GB Hogg,1981,1514,66,0.7642604745078243,2020.5649175769613,50.65649175769613
M Ntini,1984,1522,73,0.7671370967741935,2023.624834160874,50.16248341608739
Mohammad Sami,1988,1528,60,0.7686116700201208,2027.704722939424,49.97047229394241
Bilal Khan,2515,2076,100,0.8254473161033797,2565.2300695134063,48.92300695134063
MA Leask,2043,1595,65,0.780714635340186,2083.8031936444886,48.88031936444886
AS Joseph,3496,3089,119,0.8835812356979404,3565.8227924528305,47.682279245283056
AJ Hosein,2132,1709,60,0.801594746716698,2174.5807189672296,46.55807189672296
JJ Smit,1462,1037,50,0.7093023255813954,1491.1993485600794,45.41993485600794
Junaid Siddique,2491,2087,68,0.8378161380971497,2540.750736842105,45.37507368421052
JDP Oram,1740,1323,51,0.7603448275862069,1774.751618669315,45.17516186693149
MG Erasmus,1610,1192,49,0.7403726708074534,1642.1552333664351,45.01552333664351
YS Chahal,3596,3221,118,0.8957174638487208,3667.820011916584,44.6820011916584
Basil Hameed,1399,989,46,0.7069335239456754,1426.9411002979148,43.794110029791476
AR Patel,1736,1339,39,0.7713133640552995,1770.6717298907647,43.16717298907647
Hamza Tahir,1423,1020,38,0.7167955024595924,1451.4204329692157,43.142043296921564
Shoaib Akhtar,1817,1423,54,0.7831590533847,1853.2894776564053,43.02894776564053
Shakeel Ahmed,860,447,40,0.5197674418604651,877.1760873882821,43.01760873882821
Karan KC,2555,2178,90,0.8524461839530333,2606.0289572989077,42.80289572989077
