batsman,actual_runs,expected_runs,balls,replacement_exp,batting_war
NLTC Perera,2233,1790.1503859386364,2045,1521.627828047841,71.13721719521591
IR Bell,5289,5395.179584725231,6997,4585.902647016446,70.30973529835538
Tamim Iqbal,7648,8176.236968783301,9979,6949.801423465806,69.81985765341942
AJ Strauss,3729,3570.318995045646,4732,3034.771145788799,69.4228854211201
Shubman Gill,2775,2462.478000845176,2863,2093.1063007184,68.18936992816002
KA Pollard,2608,2273.9919063076413,2877,1932.893120361495,67.5106879638505
SB Styris,3184,2955.5726182031117,3970,2512.236725472645,67.17632745273549
Younis Khan,4777,4836.782749904658,6411,4111.2653374189595,66.57346625810405
PR Stirling,3548,3412.7581468338567,4148,2900.844424808778,64.7155575191222
JH Kallis,4929,5071.32486521968,6548,4310.626135436728,61.8373864563272
BRM Taylor,5130,5316.52789296819,6929,4519.048709022962,61.09512909770383
MR Marsh,2762,2540.3814378827838,2953,2159.324222200366,60.2675777799634
A Flintoff,2096,1760.6481317979892,2366,1496.550912028291,59.94490879717091
AK Markram,2202,1888.092828150092,2304,1604.878903927578,59.7121096072422
TWM Latham,4280,4334.209848966412,5128,3684.07837162145,59.59216283785499
Kamran Akmal,2746,2544.0326162525157,3374,2162.4277238146383,58.35722761853617
Sikandar Raza,3511,3450.088766125614,4084,2932.5754512067715,57.84245487932285
MV Boucher,2617,2402.2958593348153,2961,2041.951480434593,57.50485195654071
Umar Akmal,3032,2906.537534670911,3626,2470.5569044702743,56.14430955297257
JP Duminy,4928,5149.132092689355,5986,4376.762278785952,55.12377212140482
AD Hales,2330,2098.644946086192,2483,1783.848204173263,54.615179582673704
Soumya Sarkar,2044,1762.6327459279798,2150,1498.237834038783,54.57621659612171
DJG Sammy,1853,1543.4135297426833,1926,1311.9015002812807,54.109849971871924
MM Ali,2278,2045.1444941274956,2418,1738.3728200083713,53.96271799916288
KJ O'Brien,1990,1707.8892383634088,2151,1451.7058526088974,53.829414739110256
BJ Haddin,3003,2904.897601744984,3648,2469.1629614832364,53.383703851676366
PD Collingwood,4132,4233.366463886184,5497,3598.361494303256,53.363850569674376
HH Pandya,1897,1605.6894581617219,1755,1364.8360394374636,53.21639605625364
Abdul Razzaq,2327,2142.473429605638,2689,1821.1024151647923,50.58975848352077
WU Tharanga,6482,7036.673870753851,8845,5981.172790140773,50.0827209859227
AD Russell,1034,627.5501804204749,805,533.4176533574037,50.058234664259636
L Ronchi,1397,1056.968330411061,1241,898.4230808494019,49.85769191505981
HG Munsey,2267,2087.238055406939,2532,1774.1523470958982,49.28476529041018
N Pooran,1829,1572.1474563833785,1913,1336.3253379258717,49.267466207412824
JO Holder,2144,1948.7044830111952,2431,1656.3988105595158,48.760118944048415
MN Samuels,4205,4376.3985001107885,5654,3719.93872509417,48.506127490583005
SO Hetmyer,1414,1095.7028677435746,1339,931.3474375820384,48.26525624179616
MA Leask,1469,1160.857029822728,1311,986.7284753493187,48.22715246506813
RR Sarwan,3717,3807.944884378068,5143,3236.7531517213574,48.024684827864256
ME Trescothick,1997,1799.1257306654106,2480,1529.256871065599,46.774312893440104
GJ Bailey,3011,3004.9397694475133,3672,2554.1988040303863,45.68011959696137
DJ Mitchell,2040,1870.905351486959,2192,1590.269548763915,44.97304512360849
AD Mathews,5646,6122.277830485495,6934,5203.93615591267,44.206384408732994
JD Ryder,1242,949.8568252478273,1294,807.3783014606531,43.46216985393469
C Munro,1249,980.1150323833676,1207,833.0977775258625,41.59022224741375
PD Salt,976,664.1966281665865,861,564.5671339415985,41.143286605840146
Liton Das,2178,2079.5625163914046,2583,1767.628138932694,41.03718610673061
BC Lara,1878,1727.0757653542314,2455,1468.0144005510967,40.998559944890324
DL Vettori,1450,1228.1253922770832,1745,1043.9065834355206,40.60934165644794
KL Rahul,2953,2996.725620226784,3393,2547.2167771927666,40.57832228072334
R Dravid,3650,3822.2933839308007,5133,3248.9493763411806,40.10506236588194
AT Carey,2149,2056.5642668199566,2417,1748.079626796963,40.09203732030369
SD Hope,5218,5668.945536697286,6615,4818.603706192693,39.93962938073073
N Dickwella,1604,1419.6682612831796,1758,1206.7180220907026,39.72819779092974
DJ Bravo,2760,2782.7685588359222,3506,2365.3532750105337,39.464672498946626
KIC Asalanka,2015,1908.7334965787734,2287,1622.4234720919574,39.257652790804265
R Ravindra,1201,954.0533532349266,1122,810.9453502496876,39.00546497503124
